name,side,status,loader,minecraft,source,filename_hint,notes
"HBM's Nuclear Tech Mod: Community Edition",common,required,Forge,1.12.2,GitHub/CurseForge,"NTM-CE-*.jar or 2.5.0.2 release","Primary HBM candidate; do not install with other HBM base forks"
"Hbm's Nuclear Tech Mod Extended Edition",common,candidate,Forge,1.12.2,GitHub/CurseForge,"NTM-Extended-1.12.2-3.0.3.jar","Fallback HBM candidate; do not install with CE"
"Just Enough Items",client,required,Forge,1.12.2,CurseForge/Modrinth,"jei_1.12.2-*.jar","Recipes and item lookup"
"The One Probe",common,recommended,Forge,1.12.2,CurseForge/Modrinth,"theoneprobe-1.12-*.jar","Block and entity inspection"
"Applied Energistics 2",common,recommended,Forge,1.12.2,CurseForge/Modrinth,"appliedenergistics2-rv6-*.jar","Storage and automation"
"Storage Drawers",common,recommended,Forge,1.12.2,CurseForge/Modrinth,"StorageDrawers-1.12.2-*.jar","Bulk storage"
"Iron Chests",common,recommended,Forge,1.12.2,CurseForge/Modrinth,"ironchest-1.12.2-*.jar","Simple storage"
"Immersive Engineering",common,recommended,Forge,1.12.2,CurseForge/Modrinth,"ImmersiveEngineering-*.jar","Industrial tech; balance review needed"
"FoamFix",common,recommended,Forge,1.12.2,CurseForge,"foamfix-*.jar","Memory optimization; tune config"
"Chunk-Pregenerator",server,recommended,Forge,1.12.2,CurseForge/Modrinth,"Chunk Pregenerator-*.jar","World pre-generation"
"Spark",server,recommended,Forge/Sponge,1.12.2,Modrinth/GitHub,"spark-*.jar","Profiler; choose Forge or Sponge build"
"JourneyMap",client,recommended,Forge,1.12.2,CurseForge,"journeymap-1.12.2-*.jar","Client map; configure allowed features"
"AppleSkin",client,recommended,Forge,1.12.2,CurseForge/Modrinth,"AppleSkin-mc1.12-*.jar","Food HUD"
"Mouse Tweaks",client,recommended,Forge,1.12.2,CurseForge/Modrinth,"MouseTweaks-*.jar","Inventory QoL"
"Controlling",client,recommended,Forge,1.12.2,CurseForge/Modrinth,"Controlling-*.jar","Keybind search"
"Thermal Foundation",common,candidate,Forge,1.12.2,CurseForge,"ThermalFoundation-*.jar","Use only if adding Thermal stack"
"Thermal Expansion",common,candidate,Forge,1.12.2,CurseForge,"ThermalExpansion-*.jar","Balance against HBM progression"
"Thermal Dynamics",common,candidate,Forge,1.12.2,CurseForge,"ThermalDynamics-*.jar","Balance against HBM logistics"
"Ender IO",common,candidate,Forge,1.12.2,CurseForge,"EnderIO-1.12.2-*.jar","Powerful conduits; test balance"
"Mekanism",common,candidate,Forge,1.12.2,CurseForge/Modrinth,"Mekanism-1.12.2-*.jar","Large tech stack; likely balance conflict"
"Galacticraft",common,candidate,Forge,1.12.2,Micdoodle8/GitHub,"GalacticraftCore-*.jar","Large thematic expansion; test later"
